#;TITLE;TYPE;COUNTRY;RELEASE;GENRE;COMPANY;VALUE
289;"Crazy Rich Asians";Movie;"United States";2018-08-15;Comedy;"Warner Bros. Pictures";1471
290;"Despicable Me 3";Movie;"United States";2017-06-15;Animated;"Universal Pictures";1461
291;"Scooby-Doo 2: Monsters Unleashed";Movie;"United States";2004-03-20;Fantasy;"Warner Bros. Pictures";1460
292;"Ready Player One";Movie;"United States";2018-03-28;"Science Fiction";"Warner Bros. Pictures";1448
293;"Death to 2020";Movie;"United States";2020-12-27;Comedy;Netflix;1425
294;Norbit;Movie;"United States";2007-02-08;Comedy;DreamWorks;1420
295;"The Big Show Show";TV;"United States";2020-04-06;Comedy;Netflix;1413
296;"Dare Me";TV;"United States";2019-12-29;Crime;Netflix;1408
297;Ted;Movie;"United States";2012-06-29;Comedy;"Universal Pictures";1395
298;It;Movie;"United States";2017-09-05;Horror;"Warner Bros. Pictures";1392
299;"Wasp Network";Movie;France;2020-06-19;Drama;;1389
300;"Wizards: Tales of Arcadia";TV;"United States";2020-08-07;Animation;Netflix;1373
301;"All Day and a Night";Movie;"United States";2020-05-01;Drama;Netflix;1368
302;"Glow Up: Britain's Next Make-Up Star";TV;"United Kingdom";2019-03-05;Reality-Show;;1360
303;"Indian Matchmaking";TV;"United States";2020-07-16;Reality-Show;;1346
304;"Ocean's 8";Movie;"United States";2018-06-08;Crime;"Warner Bros. Pictures";1334
305;"Alexa & Katie";TV;"United States";2018-03-23;Comedy;Netflix;1332
306;"12 Strong";Movie;"United States";2018-01-16;War;"Lions Gate";1323
307;"The Fabulous Lives of Bollywood Wives";TV;India;2020-11-27;Reality-Show;Netflix;1315
308;"Bad Boy Billionaires: India";TV;India;2020-09-02;Documentary;;1312
309;"Cable Girls";TV;Spain;2017-04-28;Drama;Netflix;1305
310;"The Letter for the King";TV;"United Kingdom";2020-03-20;Fantasy;Netflix;1300
311;"How to Train Your Dragon: The Hidden World";Movie;"United States";2019-01-23;Animated;"Universal Pictures";1298
312;"Wonder Woman";Movie;"United States";2017-05-30;Superhero;"Warner Bros. Pictures";1293
313;"The Fall";TV;"United Kingdom";2013-05-12;Crime;"BBC Two";1271
314;"Reply 1988";TV;"South Korea";2015-11-06;Comedy;;1264
315;Becoming;Movie;"United States";2020-05-06;Documentary;Netflix;1243
316;"Princess Sarah";TV;Philippines;2007-11-12;Drama;;1240
317;"One Piece";TV;Japan;1999-10-20;Animation;;1239
318;"The Occupant";Movie;Spain;2020-03-25;Crime;"Nostromo Pictures";1239
319;"Sniper: Ultimate Kill";Movie;"United States";2017-10-03;Action;;1236
320;"Ride Along";Movie;"United States";2014-01-17;Comedy;"Universal Pictures";1233
321;"The Liberator";TV;"United States";2020-11-11;Animation;Netflix;1232
322;Torbaaz;Movie;India;2020-12-11;Drama;"Little Lamb Films Pvt. Ltd.";1226
323;Blockers;Movie;"United States";2018-03-14;Comedy;"Universal Pictures";1223
324;"Inside the World's Toughest Prisons";TV;"United Kingdom";2016-04-20;Documentary;Netflix;1220
325;Summertime;TV;Italy;2020-04-29;Drama;Netflix;1219
326;"Ginny Weds Sunny";Movie;India;2020-10-09;Comedy;Netflix;1209
327;Ethos;TV;Turkey;2020-11-12;Drama;Netflix;1206
328;"King Arthur: Legend of the Sword";Movie;"United Kingdom";2017-03-22;Fantasy;"Warner Bros. Pictures";1205
329;"Offering to the Storm";Movie;Spain;2020-07-24;Thriller;Netflix;1203
330;"Have a Good Trip: Adventures in Psychedelics";Movie;"United States";2020-05-11;Documentary;Netflix;1202
331;"Johnny English Reborn";Movie;"United Kingdom";2011-09-15;Comedy;"Universal Pictures";1196
332;Adú;Movie;Spain;2020-07-01;Drama;;1189
